county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Wharton County,48,48481,41570,1086.144,"[29.276712, -96.175435]",
Wheeler County,48,48483,4990,914.533,"[35.352532, -100.263458]",
Wichita County,48,48485,129350,627.593,"[33.920901, -98.552501]",
Wilbarger County,48,48487,12887,970.946,"[34.144872, -99.296953]",
Willacy County,48,48489,20164,590.613,"[26.452376, -97.777449]",
Williamson County,48,48491,609017,1115.847,"[30.560987, -97.716991]",
Wilson County,48,48493,49753,803.735,"[29.231356, -98.142982]",
Winkler County,48,48495,7791,841.269,"[31.842332, -103.0992]",
Wise County,48,48497,68632,904.454,"[33.161791, -97.629879]",
Wood County,48,48499,44843,645.244,"[32.776047, -95.400092]",
Yoakum County,48,48501,7694,799.715,"[33.022609, -102.833127]",
Young County,48,48503,17867,914.498,"[33.164283, -98.624184]",
Zapata County,48,48505,13889,998.412,"[26.903441, -99.266007]",
Zavala County,48,48507,9670,1297.407,"[28.74941, -99.810168]",
